id,select,true,pred
975730ba-a634-4609-9705-c08306f07a3a,-1,1,1
e660b342-dc33-44dd-a9b3-e0dbb21f5e40,1,0,0
cec01222-496c-4d5a-b82a-38eb3a210452,0,1,1
b559d601-bc86-4414-b8ed-3af173933a06,-1,0,0
0468bb93-67f6-4635-85e5-b54865424fc0,0,1,0
dab98676-e07e-46df-892d-e411aed8778a,-1,1,0
a3ab3c19-8d73-4739-9f84-c8a27cb2ca36,0,0,0
19f60a22-54bd-40dc-be34-710d775e13e2,0,1,1
59572082-2bbc-471b-bf56-48bdc475d134,1,1,1
9508642f-1553-4229-acad-7ddc6c782919,-1,0,0
6d8a6389-9817-4240-ad2f-dc67747a0ae0,1,1,1
7e2f250f-0a0b-4acf-a370-00ad8282b9cb,0,1,1
697f867c-b05e-4a65-8b5d-6b5cf2bae3ea,-1,0,1
ea2f28fc-2926-49ac-a971-fee59de572c6,0,0,0
6db69551-d213-43a4-ae5c-f4112ddf57fe,1,1,1
c332479f-94fe-4a2d-a39b-6d3dcf955239,1,0,1
7f84f4d6-6c19-4fd0-9a5f-ce26ba240b83,1,0,0
15635de9-335a-4384-9308-3e3f496ebe83,0,0,0
b4478686-2c02-42dc-8077-d759b828cf4c,1,0,0
aa34e85d-ca7f-4f23-a53e-580414186ea3,0,1,1
